Фамилия	Имя	Отчество	Пол	Возраст	Занятость	Дата первого заказа	Город	Частота пользования услугами	Эмоциональность	Удовлетворенность	Способы оплаты	Действующий клиент
Иванов	Алексей	Михайлович	м	35	работает	01.01.2008	Березники	средняя	низкая	высокая	перевод	Да
Петрова	Анастасия	Викторовна	ж	27	домохозяйка	01.02.2012	Пермь	средняя	высокая	низкая	наличные	Да
Крылов	Петр	Юрьевич	м	43	работает	09.08.2011	Пермь	средняя	средняя	высокая	карта	Да
Иванов	Степан	Антонович	м	19	учится	09.12.2005	Пермь	средняя	низкая	средняя	карта	Да
Королев	Петр	Сергеевич	м	20	учится	08.06.2012	Пермь	средняя	низкая	высокая	перевод	Да
Задорнов	Денис	Петрович	м	48	работает	04.05.2011	Пермь	средняя	средняя	средняя	карта	Да
Тарасов	Андрей	Алексеевич	м	50	работает	04.03.2012	Пермь	средняя	низкая	средняя	наличные	Да
Назаров	Дмитрий	Александрович	м	22	без работы	06.08.2006	Пермь	средняя	средняя	средняя	перевод	Нет
Оборин	Антон	Иванович	м	21	без работы	09.12.2009	Березники	средняя	низкая	средняя	наличные	Нет
Жихарева	Ксения	Леонидовна	ж	28	без работы	15.10.2010	Пермь	средняя	высокая	высокая	карта	Да
Михайлов	Александр	Андреевич	м	59	на пенсии	11.11.2007	Пермь	средняя	низкая	средняя	перевод	Нет
Далматов	Сергей	Михайлович	м	75	на пенсии	28.07.2011	Пермь	средняя	высокая	низкая	перевод	Нет
Горохова	Лариса	Ивановна	ж	64	на пенсии	31.05.2012	Пермь	средняя	низкая	низкая	наличные	Нет
Артурова	Елена	Анатольевна	ж	35	работает	01.01.2005	Пермь	средняя	средняя	высокая	карта	Да
Шаврин	Станислав	Артурович	м	37	работает	05.08.2007	Добрянка	средняя	низкая	низкая	перевод	Да
Воротников	Олег	Владимирович	м	19	учится	09.12.2005	Пермь	средняя	высокая	низкая	карта	Да
Евсеев	Эдуард	Валерьевич	м	21	учится	25.02.2009	Пермь	средняя	низкая	низкая	карта	Да
Реутова	Ольга	Андреевна	ж	22	учится	03.02.2010	Пермь	средняя	средняя	средняя	карта	Да
Шаврина	Юлия	Петровна	ж	31	работает	05.08.2008	Пермь	средняя	низкая	низкая	наличные	Да
Шаляпин	Денис	Алексеевич	м	25	без работы	09.11.2006	Пермь	средняя	высокая	высокая	перевод	Да
Татищев	Михаил	Юрьевич	м	21	без работы	30.04.2007	Пермь	средняя	средняя	высокая	перевод	Да
Грибоедов	Сергей	Евгеньевич	м	20	без работы	16.12.2006	Пермь	средняя	низкая	низкая	карта	Да
Харламов	Анастасия	Михайловна	ж	29	домохозяйка	16.04.2007	Пермь	средняя	средняя	средняя	наличные	Да
Павлова	Светлана	Борисовна	ж	26	домохозяйка	18.04.2009	Березники	средняя	высокая	средняя	наличные	Да
Друзина	Мария	Анатольевна	ж	63	на пенсии	14.05.2006	Пермь	средняя	высокая	низкая	перевод	Нет
Воронин	Дмитрий	Леонидович	м	62	на пенсии	31.05.2005	Пермь	средняя	средняя	низкая	карта	Нет
